"AUTHOR";"BORN-DIED";"TITLE";"DATE";"TECHNIQUE";"LOCATION";"URL";"FORM";"SCHOOL";"TIMEFRAME"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of a Man";"1625-27";"Oil on canvas, 99 x 74 cm";"Private collection";"https://www.wga.hu/detail/d/dyck_van/1portrai/porrt_man.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of Felipe Godines";"c. 1630";"Oil on canvas, 211 x 138 cm";"Alte Pinakothek, Munich";"https://www.wga.hu/detail/d/dyck_van/1portrai/portrait.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of a Man";"1618";"Oil on panel, 106 x 74 cm";"Liechtenstein Museum, Vienna";"https://www.wga.hu/detail/d/dyck_van/1portrai/portrman.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Self Portrait";"c. 1621";"Oil on canvas, 82 x 70 cm";"Alte Pinakothek, Munich";"https://www.wga.hu/detail/d/dyck_van/1portrai/self.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Self-portrait with a Sunflower";"c. 1632";"Oil on canvas, 60 x 73 cm";"Private collection";"https://www.wga.hu/detail/d/dyck_van/1portrai/self_por.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Self-Portrait";"c. 1632";"Oil on canvas, 79 x 62 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/d/dyck_van/1portrai/selfpor.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Self-Portrait at the Age of Sixteen";"c. 1615";"Oil on wood, 26 x 20 cm";"Akademie der bildenden Künste, Vienna";"https://www.wga.hu/detail/d/dyck_van/1portrai/selfpor1.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Self-Portrait";"1622-23";"Oil on canvas, 117 x 94 cm";"The Hermitage, St. Petersburg";"https://www.wga.hu/detail/d/dyck_van/1portrai/selfport.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of Lucas van Uffel";"c. 1622";"Oil on canvas, 125 x 101 cm";"Metropolitan Museum of Art, New York";"https://www.wga.hu/detail/d/dyck_van/1portrai/uffel.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of Sir Thomas Wharton";"1636-39";"Oil on canvas, 217 x 128 cm";"The Hermitage, St. Petersburg";"https://www.wga.hu/detail/d/dyck_van/1portrai/wharton.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Isabella Brandt";"c. 1621";"Oil on canvas, 153 x 120 cm";"National Gallery of Art, Washington";"https://www.wga.hu/detail/d/dyck_van/1portrax/brant.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of the Countess Castlehaven";"c. 1638";"Oil on canvas";"Wilton House, Salisbury";"https://www.wga.hu/detail/d/dyck_van/1portrax/castleha.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Diana Cecil, Countess of Oxford";"1638";"Oil on canvas, 107 x 86 cm";"Museo del Prado, Madrid";"https://www.wga.hu/detail/d/dyck_van/1portrax/diana.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Marchesa Elena Grimaldi Cattaneo";"c. 1623";"Oil on canvas, 243 x 139 cm";"National Gallery of Art, Washington";"https://www.wga.hu/detail/d/dyck_van/1portrax/grimaldi.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Princess Henrietta of Lorraine, Attended by a Page";"1634";"Oil on canvas, 213 x 127 cm";"Iveagh Bequest, Kenwood House, London";"https://www.wga.hu/detail/d/dyck_van/1portrax/henriet.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Queen Henrietta Maria";"1638";"Oil on canvas, 127 x 81 cm";"Private collection";"https://www.wga.hu/detail/d/dyck_van/1portrax/henriet1.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Queen Henrietta Maria (detail)";"1638";"Oil on canvas";"Private collection";"https://www.wga.hu/detail/d/dyck_van/1portrax/henriet2.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Queen Henrietta Maria";"1638";"Oil on canvas";"Royal Collection, Windsor";"https://www.wga.hu/detail/d/dyck_van/1portrax/henriet3.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Margaret of Lorraine, Duchess of Orléans";"c. 1634";"Oil on canvas, 204 x 117 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/d/dyck_van/1portrax/lorraine.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Portrait of a Lady";"1634-35";"Oil on canvas, 140 x 107 cm";"Pinacoteca di Brera, Milan";"https://www.wga.hu/detail/d/dyck_van/1portrax/portlady.jpg";"portrait";"Flemish";"1601-1650"
"DYCK, Sir Anthony van";"(b. 1599, Antwerpen, d. 1641, London)";"Marchesa Geronima Spinola";"1624-26";"Oil on canvas, 226 x 152 cm";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/d/dyck_van/1portrax/spinola.jpg";"portrait";"Flemish";"1601-1650"
