"AUTHOR";"BORN-DIED";"TITLE";"DATE";"TECHNIQUE";"LOCATION";"URL";"FORM";"SCHOOL";"TIMEFRAME"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"The Spoils of the Chase";"1649";"Oil on canvas, 137 x 201 cm";"Private collection";"https://www.wga.hu/detail/f/fyt/thespoil.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Bird Concert";"-";"Oil on canvas, 135 x 186 cm";"Rockox House, Antwerp";"https://www.wga.hu/detail/f/fyt/birdconc.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Bittern and Ducks Startled by Dogs";"-";"Oil on canvas, 138 x 172 cm";"Museum voor Schone Kunsten, Ghent";"https://www.wga.hu/detail/f/fyt/bittern.jpg";"genre";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Diana, Goddess of the Hunt (detail)";"-";"Oil on canvas";"Private collection";"https://www.wga.hu/detail/f/fyt/diana_d.jpg";"mythological";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Dead Game";"1640";"Oil on canvas, 94 x 120 cm";"The Hermitage, St. Petersburg";"https://www.wga.hu/detail/f/fyt/deadgame.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Game and Hunting Gear Discovered by a Cat";"1640s";"Oil on canvas, 95 x 122 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/f/fyt/game_cat.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Still-life with Fruits and Parrot";"c. 1640";"Oil on canvas, 58 x 90 cm";"The Hermitage, St. Petersburg";"https://www.wga.hu/detail/f/fyt/stillife.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Still-life with Dog and Cat";"-";"Oil on panel, 77 x 112 cm";"Museo del Prado, Madrid";"https://www.wga.hu/detail/f/fyt/stil_dog.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Venison and Basket of Grapes Watched by a Cat";"1650s";"Oil on canvas, 100 x 140 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/f/fyt/venison.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Spaniels Stalking Rabbits in the Dunes";"1658";"Oil on canvas, 119 x 187 cm";"Private collection";"https://www.wga.hu/detail/f/fyt/spaniels.jpg";"genre";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Ducks and Water Hens Surprised by Dogs";"-";"Oil on canvas, 127 x 163 cm";"Museo del Prado, Madrid";"https://www.wga.hu/detail/f/fyt/duckhens.jpg";"genre";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Mushrooms";"-";"Oil on wood, 49 x 63,5 cm";"Musées Royaux des Beaux-Arts, Brussels";"https://www.wga.hu/detail/f/fyt/mushroom.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Still-Life with Hare and Game-Birds";"-";"Oil on canvas, 63 x 86 cm";"Szépm?vészeti Múzeum, Budapest";"https://www.wga.hu/detail/f/fyt/stilhare.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Still-Life";"-";"Oil on canvas, 42 x 58,5 cm";"Národní Galerie, Prague";"https://www.wga.hu/detail/f/fyt/still_ga.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Diana, Goddess of the Hunt";"-";"Oil on canvas, 177 x 261 cm";"Private collection";"https://www.wga.hu/detail/f/fyt/diana.jpg";"mythological";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Big Dog, Dwarf and Boy";"1652";"Oil on canvas, 138 x 203,5 cm";"Gemäldegalerie, Dresden";"https://www.wga.hu/detail/f/fyt/big_dog.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Diana with Her Hunting Dogs beside Kill (detail)";"-";"Oil on canvas";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/f/fyt/dianadoh.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Still-Life";"1645-50";"Oil on canvas, 113 x 129 cm";"Private collection";"https://www.wga.hu/detail/f/fyt/stillify.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Game Piece";"1644";"Oil on panel, 60 x 88 cm";"Private collection";"https://www.wga.hu/detail/f/fyt/gamepiec.jpg";"still-life";"Flemish";"1601-1650"
"FYT, Jan";"(b. 1611, Antwerpen, d. 1661, Antwerpen)";"Dead Partridges with Hound";"1647";"Oil on canvas, 38 x 62 cm";"Kunsthistorisches Museum, Vienna";"https://www.wga.hu/detail/f/fyt/deadpart.jpg";"still-life";"Flemish";"1601-1650"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"The Wounded Officer of the Imperial Guard Leaving the Battlefield";"1814";"Oil on canvas, 358 x 294 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/102geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Study of a Male Nude";"-";"Oil on paper laid down on canvas, 29 x 23 cm";"Private collection";"https://www.wga.hu/detail/g/gericaul/2/26gerica.jpg";"study";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"The Wreck";"1821-24";"Oil on canvas, 19 x 25 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/112geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Torso of a Man";"1812";"Oil on canvas, 102 x 82 cm";"Private collection";"https://www.wga.hu/detail/g/gericaul/1/1030geri.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"The Raft of the Medusa";"1818-19";"Oil on canvas, 491 x 716 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/105geric.jpg";"other";"French";"1801-1850"
